ID,Target_Keyword,SEO_Product_Title,SEO_Tags,Hook_Headline,Selling_Points,Options
1,미니 에어프라이어,1인가구 미니 에어프라이어 2L 저소음 원룸 컴팩트 오븐 오일릴리스,"미니에어프라이어, 1인가구에어프라이어, 원룸에어프라이어, 소형에어프라이어, 저소음오븐, 컴팩트가전, 자취생필수템, 혼밥레시피, 스마트조리, 분리세척에어프라이어, 오일프리, 미니오븐, 원룸가전",퇴근 후 배달 기다리기 지치셨죠? 기름 없이 10분 만에 겉바속촉 혼밥 완성!,기름 90% 감소로 건강하고 바삭한 무기름 조리 | 바스켓 전체 완전 분리로 설거지와 위생 관리 3초 컷 | 원룸에서도 밤늦게 눈치 안 보는 40dB 저소음 설계,크림 화이트 / 2L / 매트 블랙 / 2L
2,소형 에어프라이어 3L,소형 에어프라이어 3L 대용량 원룸 1인가구 디지털 조리용 오븐,"소형에어프라이어, 에어프라이어3L, 1인용에어프라이어, 자취에어프라이어, 원룸가전, 혼밥쿠킹, 스마트에어프라이어, 투명창오븐, 간단요리, 홈베이킹가전, 저소음가전, 주방필수템",2L는 작고 5L는 부담스러웠다면? 혼닭부터 냉동식품까지 딱 좋은 3L 골디락스 용량!,360도 고속 순환 열풍으로 뒤집을 필요 없는 균일 가열 | 논스틱 코팅 바스켓으로 탄 자국 없이 가볍게 쓱 세척 | 직관적인 터치 패널과 8가지 자동 조리 프리셋 지원,밀크 화이트 / 3L / 올리브 그린 / 3L
3,1인 전기밥솥,1인 전기밥솥 갓지은 찰밥 미니 쾌속 취사 원룸 보온 밥솥,"1인전기밥솥, 미니밥솥, 자취생밥솥, 원룸전기밥솥, 소형밥솥, 쾌속취사, 혼밥밥솥, 갓지은밥, 저전력밥솥, 슬림밥솥, 1인분밥솥, 주방소형가전",햇반 사 먹지 마세요! 15분 쾌속 취사로 매일 따끈한 갓 지은 밥 완성!,15분 만에 고소하고 찰진 밥이 완성되는 파워 쾌속 모드 | 커버 분리형 구조로 밥물 때 없이 깨끗하게 수시 세척 | 최대 12시간 자동 보온으로 갓 지은 맛 그대로 유지,스노우 화이트 / 1~2인분 / 파스텔 핑크 / 1~2인분
4,미니 전기밥솥,미니 전기밥솥 잡곡밥 죽 이유식 겸용 컴팩트 소형 밥솥 1.5L,"미니전기밥솥, 소형밥솥, 자취용밥솥, 1인밥솥, 멀티미니밥솥, 잡곡밥밥솥, 죽제조기, 원룸인테리어가전, 저전력미니가전, 혼밥라이프","밥만 되는 게 아닙니다! 죽, 계란찜, 잡곡밥까지 버튼 하나로 끝내는 미니 셰프!",고화력 알루미늄 내솥으로 속까지 푹 익는 맛있는 밥맛 | 예약 취사 기능으로 아침에 눈뜨자마자 따뜻한 밥 완성 | 손잡이 일체형으로 이동과 보관이 간편한 컴팩트 디자인,아이보리 / 1.5L / 코지 베이지 / 1.5L
5,1구 인덕션,1구 인덕션 전기레인지 슬림 포터블 고화력 원룸 자취 필수템,"1구인덕션, 휴대용인덕션, 원룸인덕션, 슬림인덕션, 전기레인지1구, 고화력인덕션, 자취생필수템, 테이블인덕션, 안전전기레인지, 혼밥조리도구",원룸 유해가스 걱정 끝! 식탁 위에서 바로 끓여 먹는 고화력 슬림 1구 인덕션!,2000W 강력 고화력으로 물 1L를 2분 만에 팔팔 끓임 | 화재 위험 없는 10중 안전 장치 및 자동 과열 차단 | 내열 글라스 상판으로 국물 흘려도 키친타월로 쓱 닦아 청소,크리스탈 화이트 / 2000W / 피아노 블랙 / 2000W
6,휴대용 인덕션,휴대용 인덕션 미니 전기레인지 캠핑 원룸 식탁용 컴팩트 1구,"휴대용인덕션, 미니인덕션, 캠핑인덕션, 원룸전기레인지, 식탁용인덕션, 초슬림인덕션, 보조인덕션, 자취가전, 차박가전, 안전인덕션","무게는 가볍게, 화력은 미치게! 원룸 식탁부터 주말 캠핑까지 한 손 수납 가능!",두께 3.5cm 초슬림 디자인으로 공간 차지 제로 | 터치식 9단계 미세 화력 조절로 조림부터 구이까지 완벽 | 저소음 팬 적용으로 조용한 식사 시간 보장,버터 옐로우 / 미니 / 스카이 블루 / 미니
7,멀티쿠커 소형,멀티쿠커 소형 라면포트 찜기 냄비 일체형 1인용 찌개 라면 쿠커,"멀티쿠커, 소형멀티쿠커, 라면포트, 1인용멀티쿠커, 미니전기냄비, 자취생냄비, 원룸멀티쿠커, 찜기포트, 혼밥쿠커, 간편조리기",냄비+버너+찜기를 하나로! 설거지거리 3개에서 1개로 줄여주는 만능 멀티쿠커!,세라믹 3중 코팅으로 음식이 잘 눌러붙지 않는 편의성 | 2단계 온도 조절 전원 스위치로 누구나 쉬운 조작 | 상단 2단 찜기 구성품 기본 제공으로 다용도 활용,세라믹 백색 / 1.2L (찜기포함) / 파스텔 민트 / 1.2L (찜기포함)
8,핸디 무선청소기,핸디 무선청소기 원룸 미니 청소기 초경량 강력 흡입 틈새 청소,"핸디무선청소기, 미니청소기, 원룸청소기, 초경량청소기, 차량용청소기, 틈새청소기, 자취생청소기, 강력흡입청소기, C타입충전청소기, 소형청소기","머리카락, 과자 부스러기 보일 때 마다 3초 컷! 500g 초경량 핸디 청소기!","500g 가벼운 무게로 손목 무리 없이 한 손 청소 | 12,000Pa 강력 BLDC 모터로 미세먼지까지 싹 흡입 | 보관 거치대 및 C타입 범용 고속 충전 지원",매트 화이트 / 12000Pa / 샤크 그레이 / 12000Pa
9,가벼운 무선청소기,가벼운 무선청소기 깃털 경량 스틱형 원룸 자취 원스톱 청소기,"가벼운무선청소기, 초경량스틱청소기, 원룸무선청소기, 자취생청소기, 가성비청소기, 스틱청소기, 원룸필수가전, 저소음청소기, HEPA필터청소기",청소가 노동이 아니라 일상이 된다! 0.9kg 깃털 무게로 원룸 5분 청소 끝!,스틱과 핸디 2in1 변형으로 바닥부터 천장까지 완벽 청소 | H13 등급 물세척 HEPA 필터로 미세먼지 재배출 차단 | 셀프 스탠딩 구조로 세워두기 편리한 공간 절약,스노우 화이트 / 2in1 / 코지 베이지 / 2in1
10,미니 세탁기,미니 세탁기 소형 소용량 3kg 원룸 속옷 아기옷 전용 세탁기,"미니세탁기, 소형세탁기, 원룸세탁기, 속옷세탁기, 3kg세탁기, 자취생세탁기, 삶음세탁기, 소용량세탁기, 절전세탁기, 공간절약세탁기",양말 몇 켤레 때문에 대형 세탁기 돌리지 마세요! 매일 깔끔한 3kg 미니 세탁!,99.9% 고온 삶음 기능으로 세균 및 냄새 원인 완벽 제거 | 3kg 맞춤 용량으로 물과 전기세 70% 절감 효과 | 저소음 DD모터 탑재로 퇴근 후 밤 세탁도 안심,모던 화이트 / 3kg 삶음 / 메탈 실버 / 3kg 삶음
